post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,v_fisica,v_financeira,ativos
64,BPLC11,14.4205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2023,,,,,,,,,,,,,Misto,misto,0,,316061800.03,0,,BPLC11,,,1
210,BPML11,0.2705,0.4600,0.4567,1.3700,0.4567,2.7400,0.4450,5.3400,-5.9105,-5.4777,-5.4777,58.9000,0.4600,2023,0.2422,123.8887,0.2254,533350517.6700,0.0315,0.4681,0.7273,0.2424,,,,,Shoppings,shoppings,62.1,74557.95,523519124.6,0.5107,0.5012563696285456,BPML11,,,4
305,BPRP11,0.9000,0.8200,0.6067,1.8200,0.3033,1.8200,0.3667,4.4000,20.1093,21.0942,21.0942,109.9000,1.8200,2023,,,,,,,,,,,,,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,92,2062.88,147339808.3,0.8429,,BPRP11,,,1
226,BRCO11,0.7800,0.6900,0.6367,1.9100,0.6467,3.8800,0.6517,7.8200,10.8386,19.1928,11.6034,113.0000,3.2700,2023,0.5759,121.5500,2.0137,1796316141.4100,8.3057,2.6011,1.7513,0.5838,3.5331,0.5888,,,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,118,4164930.95,1777631688.06,0.981,0.9707939119703826,BRCO11,,,11
165,BRCR11,0.4500,0.7600,0.8033,2.4100,0.8067,4.8400,0.7792,9.3500,2.2353,1.5952,3.0123,59.0000,4.0600,2023,0.4982,100.3455,0.1497,2673022814.4400,-1.6293,0.6486,1.4352,0.4784,2.8407,0.4735,,,Lajes Corporativas,lajes-corporativas,63.29,1689636.39,2673340100.98,0.6306,0.630720859430667,BRCR11,,,9
320,BREV11,0.5800,0.6100,0.6633,1.9900,1.1633,6.9800,0.8617,10.3400,7.7288,3.0031,8.3860,95.3400,7.6000,2023,0.6808,110.1704,-0.1203,106556883.7300,6.5923,0.5596,1.9311,0.6437,3.5601,0.5933,,,Lajes Corporativas,lajes-corporativas,95,2727.65,113377630.16,0.8104,0.8623005816444345,BREV11,,,13
428,BRIM11,49.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1717,2.0600,0.0000,,0.0000,,0.0000,2023,,,,,,,,,,,,,Fundo de Desenvolvimento,fundo-de-desenvolvimento,1030.22,1020.4,138831849.28,0.9212,,BRIM11,,,1
164,BRIP11,107.0000,9.6000,9.6000,9.6000,9.6000,9.6000,9.6000,9.6000,0.0000,,0.0000,1115.0000,9.6000,2023,,,,,,,,,,,,,Fundo de Desenvolvimento,fundo-de-desenvolvimento,950,37558.8,206521577.91,0.9912,,BRIP11,,,10
181,BRLA11,1.0470,0.7000,0.4767,1.4300,0.3633,2.1800,0.3067,3.6800,0.0000,0.7000,0.7000,150.0000,1.4300,2023,0.6928,157.7700,0.0428,426827499.4600,-8.6267,0.7359,2.0783,0.6928,4.2148,0.7025,,,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,160,451338.38,494638921.4,1.0083,1.0141344995880077,BRLA11,,,6
1834,BROF11,0.6100,0.8700,1.8100,1.8100,1.8100,1.8100,1.8100,1.8100,15.2709,16.2738,16.2738,70.2000,1.8100,2023,,,,,,,,,,,,,Lajes Corporativas,lajes-corporativas,69.7,1859005.16,1234728584.03,0.6554,,BROF11,,,2
446,BTAL11,0.7600,0.7900,0.8600,2.5800,0.8900,5.3400,0.8775,10.5300,3.8436,5.2549,4.6640,95.6400,4.4700,2023,0.7838,105.8900,-0.4280,633527504.1600,8.4105,0.3525,2.3452,0.7817,4.7012,0.7835,,,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,94,928649.47,631254034.31,0.8909,0.8877136651241855,BTAL11,,,9
1769,BTCI11,0.1060,1.1300,1.1500,3.4500,0.9967,5.9800,0.5592,6.7100,1.5184,-87.6917,2.6656,9.3600,5.8500,2023,,,,,,,,,,,,,Papéis,papeis,9.18,2201001.26,1019736731.47,0.8956,,BTCI11,,,
350,BTCR11,0.9000,0.9800,0.9667,2.9000,1.1017,6.6100,1.1267,13.5200,-5.9618,11.1408,-5.0402,91.9600,11.5500,2022,0.9447,95.2700,0.6413,458252683.7300,4.6229,1.5920,2.8966,0.9655,6.6450,1.1075,,,Papéis,papeis,88,652774.65,458252683.73,0.9237,0.9236905636611735,BTCR11,,,0
